run_id,date,experimenter,electrode_id,electrode_label,Cu_width_um,Au_width_um,Cu_pct,potential_V_vs_RHE,current_density_mA_cm2,FE_H2_pct,FE_CO_pct,FE_CH4_pct,FE_C2H4_pct,FE_HCOO_pct,FE_C2H5OH_pct,FE_acetate_pct,FE_other_pct,FE_total_pct,is_repeat,notes
,,,,Pure Au,0,100,0,-1.1,,96.29,4.31,0,0,0,,,,,no,
,,,,20pct Cu,20,80,20,-1.1,,87.92,6.20,0.18,1.04,5.28,,,,,no,
,,,,50pct Cu,20,20,50,-1.1,,88.03,8.44,0.14,0.93,3.62,,,,,no,
,,,,50pct Cu,20,20,50,-1.1,,85.36,10.64,0.43,1.07,4.13,,,,,yes,repeat measurement
,,,,80pct Cu,80,20,80,-1.1,,75.71,5.16,0.43,6.79,12.65,,,,,no,
,,,,80pct Cu,80,20,80,-1.1,,73.85,4.26,0.28,8.83,13.41,,,,,yes,repeat measurement
,,,,Pure Cu,100,0,100,-1.1,,96.92,2.12,0.40,0.20,0.34,,,,,no,
,,,,Pure Au,0,100,0,-1.2,,87.15,13.21,0,0,0,,,,,no,
,,,,20pct Cu,20,80,20,-1.2,,84.33,8.75,4.07,1.84,2.19,,,,,no,
,,,,50pct Cu,20,20,50,-1.2,,82.66,11.37,0.11,3.48,2.25,,,,,no,
,,,,50pct Cu,20,20,50,-1.2,,79.53,12.22,0.38,3.55,3.38,,,,,yes,repeat measurement
,,,,80pct Cu,80,20,80,-1.2,,70.92,3.24,3.90,14.58,8.83,,,,,no,
,,,,80pct Cu,80,20,80,-1.2,,68.10,2.96,3.67,17.85,8.15,,,,,yes,repeat measurement
,,,,Pure Cu,100,0,100,-1.2,,86.04,7.66,2.20,0.79,3.49,,,,,no,
,,,,Pure Au,0,100,0,-1.3,,79.70,19.60,0,0,0,,,,,no,
,,,,20pct Cu,20,80,20,-1.3,,80.87,11.32,4.33,1.90,1.04,,,,,no,
,,,,50pct Cu,20,20,50,-1.3,,78.35,11.74,0.64,6.54,2.81,,,,,no,
,,,,50pct Cu,20,20,50,-1.3,,76.32,14.33,0.75,7.73,2.60,,,,,yes,repeat measurement
,,,,80pct Cu,80,20,80,-1.3,,61.06,2.64,11.62,22.50,2.01,,,,,no,
,,,,80pct Cu,80,20,80,-1.3,,57.19,2.38,10.06,25.41,4.49,,,,,yes,repeat measurement
,,,,Pure Cu,100,0,100,-1.3,,73.01,15.52,8.93,1.06,1.57,,,,,no,
